id_tempo,data,ano,mes,nome_mes,trimestre,dia_semana,fim_de_semana
1,2024-01-01,2024,1,January,1,Monday,0
2,2024-01-02,2024,1,January,1,Tuesday,0
3,2024-01-03,2024,1,January,1,Wednesday,0
4,2024-01-04,2024,1,January,1,Thursday,0
5,2024-01-05,2024,1,January,1,Friday,0
6,2024-01-06,2024,1,January,1,Saturday,1
7,2024-01-07,2024,1,January,1,Sunday,1
8,2024-01-08,2024,1,January,1,Monday,0
9,2024-01-09,2024,1,January,1,Tuesday,0
10,2024-01-10,2024,1,January,1,Wednesday,0
11,2024-01-11,2024,1,January,1,Thursday,0
12,2024-01-12,2024,1,January,1,Friday,0
13,2024-01-13,2024,1,January,1,Saturday,1
14,2024-01-14,2024,1,January,1,Sunday,1
15,2024-01-15,2024,1,January,1,Monday,0
16,2024-01-16,2024,1,January,1,Tuesday,0
17,2024-01-17,2024,1,January,1,Wednesday,0
18,2024-01-18,2024,1,January,1,Thursday,0
19,2024-01-19,2024,1,January,1,Friday,0
20,2024-01-20,2024,1,January,1,Saturday,1
21,2024-01-21,2024,1,January,1,Sunday,1
22,2024-01-22,2024,1,January,1,Monday,0
23,2024-01-23,2024,1,January,1,Tuesday,0
24,2024-01-24,2024,1,January,1,Wednesday,0
25,2024-01-25,2024,1,January,1,Thursday,0
26,2024-01-26,2024,1,January,1,Friday,0
27,2024-01-27,2024,1,January,1,Saturday,1
28,2024-01-28,2024,1,January,1,Sunday,1
29,2024-01-29,2024,1,January,1,Monday,0
30,2024-01-30,2024,1,January,1,Tuesday,0
31,2024-01-31,2024,1,January,1,Wednesday,0
32,2024-02-01,2024,2,February,1,Thursday,0
33,2024-02-02,2024,2,February,1,Friday,0
34,2024-02-03,2024,2,February,1,Saturday,1
35,2024-02-04,2024,2,February,1,Sunday,1
36,2024-02-05,2024,2,February,1,Monday,0
37,2024-02-06,2024,2,February,1,Tuesday,0
38,2024-02-07,2024,2,February,1,Wednesday,0
39,2024-02-08,2024,2,February,1,Thursday,0
40,2024-02-09,2024,2,February,1,Friday,0
41,2024-02-10,2024,2,February,1,Saturday,1
42,2024-02-11,2024,2,February,1,Sunday,1
43,2024-02-12,2024,2,February,1,Monday,0
44,2024-02-13,2024,2,February,1,Tuesday,0
45,2024-02-14,2024,2,February,1,Wednesday,0
46,2024-02-15,2024,2,February,1,Thursday,0
47,2024-02-16,2024,2,February,1,Friday,0
48,2024-02-17,2024,2,February,1,Saturday,1
49,2024-02-18,2024,2,February,1,Sunday,1
50,2024-02-19,2024,2,February,1,Monday,0
51,2024-02-20,2024,2,February,1,Tuesday,0
52,2024-02-21,2024,2,February,1,Wednesday,0
53,2024-02-22,2024,2,February,1,Thursday,0
54,2024-02-23,2024,2,February,1,Friday,0
55,2024-02-24,2024,2,February,1,Saturday,1
56,2024-02-25,2024,2,February,1,Sunday,1
57,2024-02-26,2024,2,February,1,Monday,0
58,2024-02-27,2024,2,February,1,Tuesday,0
59,2024-02-28,2024,2,February,1,Wednesday,0
60,2024-02-29,2024,2,February,1,Thursday,0
61,2024-03-01,2024,3,March,1,Friday,0
62,2024-03-02,2024,3,March,1,Saturday,1
63,2024-03-03,2024,3,March,1,Sunday,1
64,2024-03-04,2024,3,March,1,Monday,0
65,2024-03-05,2024,3,March,1,Tuesday,0
66,2024-03-06,2024,3,March,1,Wednesday,0
67,2024-03-07,2024,3,March,1,Thursday,0
68,2024-03-08,2024,3,March,1,Friday,0
69,2024-03-09,2024,3,March,1,Saturday,1
70,2024-03-10,2024,3,March,1,Sunday,1
71,2024-03-11,2024,3,March,1,Monday,0
72,2024-03-12,2024,3,March,1,Tuesday,0
73,2024-03-13,2024,3,March,1,Wednesday,0
74,2024-03-14,2024,3,March,1,Thursday,0
75,2024-03-15,2024,3,March,1,Friday,0
76,2024-03-16,2024,3,March,1,Saturday,1
77,2024-03-17,2024,3,March,1,Sunday,1
78,2024-03-18,2024,3,March,1,Monday,0
79,2024-03-19,2024,3,March,1,Tuesday,0
80,2024-03-20,2024,3,March,1,Wednesday,0
81,2024-03-21,2024,3,March,1,Thursday,0
82,2024-03-22,2024,3,March,1,Friday,0
83,2024-03-23,2024,3,March,1,Saturday,1
84,2024-03-24,2024,3,March,1,Sunday,1
85,2024-03-25,2024,3,March,1,Monday,0
86,2024-03-26,2024,3,March,1,Tuesday,0
87,2024-03-27,2024,3,March,1,Wednesday,0
88,2024-03-28,2024,3,March,1,Thursday,0
89,2024-03-29,2024,3,March,1,Friday,0
90,2024-03-30,2024,3,March,1,Saturday,1
91,2024-03-31,2024,3,March,1,Sunday,1
92,2024-04-01,2024,4,April,2,Monday,0
93,2024-04-02,2024,4,April,2,Tuesday,0
94,2024-04-03,2024,4,April,2,Wednesday,0
95,2024-04-04,2024,4,April,2,Thursday,0
96,2024-04-05,2024,4,April,2,Friday,0
97,2024-04-06,2024,4,April,2,Saturday,1
98,2024-04-07,2024,4,April,2,Sunday,1
99,2024-04-08,2024,4,April,2,Monday,0
100,2024-04-09,2024,4,April,2,Tuesday,0
101,2024-04-10,2024,4,April,2,Wednesday,0
102,2024-04-11,2024,4,April,2,Thursday,0
103,2024-04-12,2024,4,April,2,Friday,0
104,2024-04-13,2024,4,April,2,Saturday,1
105,2024-04-14,2024,4,April,2,Sunday,1
106,2024-04-15,2024,4,April,2,Monday,0
107,2024-04-16,2024,4,April,2,Tuesday,0
108,2024-04-17,2024,4,April,2,Wednesday,0
109,2024-04-18,2024,4,April,2,Thursday,0
110,2024-04-19,2024,4,April,2,Friday,0
111,2024-04-20,2024,4,April,2,Saturday,1
112,2024-04-21,2024,4,April,2,Sunday,1
113,2024-04-22,2024,4,April,2,Monday,0
114,2024-04-23,2024,4,April,2,Tuesday,0
115,2024-04-24,2024,4,April,2,Wednesday,0
116,2024-04-25,2024,4,April,2,Thursday,0
117,2024-04-26,2024,4,April,2,Friday,0
118,2024-04-27,2024,4,April,2,Saturday,1
119,2024-04-28,2024,4,April,2,Sunday,1
120,2024-04-29,2024,4,April,2,Monday,0
121,2024-04-30,2024,4,April,2,Tuesday,0
122,2024-05-01,2024,5,May,2,Wednesday,0
123,2024-05-02,2024,5,May,2,Thursday,0
124,2024-05-03,2024,5,May,2,Friday,0
125,2024-05-04,2024,5,May,2,Saturday,1
126,2024-05-05,2024,5,May,2,Sunday,1
127,2024-05-06,2024,5,May,2,Monday,0
128,2024-05-07,2024,5,May,2,Tuesday,0
129,2024-05-08,2024,5,May,2,Wednesday,0
130,2024-05-09,2024,5,May,2,Thursday,0
131,2024-05-10,2024,5,May,2,Friday,0
132,2024-05-11,2024,5,May,2,Saturday,1
133,2024-05-12,2024,5,May,2,Sunday,1
134,2024-05-13,2024,5,May,2,Monday,0
135,2024-05-14,2024,5,May,2,Tuesday,0
136,2024-05-15,2024,5,May,2,Wednesday,0
137,2024-05-16,2024,5,May,2,Thursday,0
138,2024-05-17,2024,5,May,2,Friday,0
139,2024-05-18,2024,5,May,2,Saturday,1
140,2024-05-19,2024,5,May,2,Sunday,1
141,2024-05-20,2024,5,May,2,Monday,0
142,2024-05-21,2024,5,May,2,Tuesday,0
143,2024-05-22,2024,5,May,2,Wednesday,0
144,2024-05-23,2024,5,May,2,Thursday,0
145,2024-05-24,2024,5,May,2,Friday,0
146,2024-05-25,2024,5,May,2,Saturday,1
147,2024-05-26,2024,5,May,2,Sunday,1
148,2024-05-27,2024,5,May,2,Monday,0
149,2024-05-28,2024,5,May,2,Tuesday,0
150,2024-05-29,2024,5,May,2,Wednesday,0
151,2024-05-30,2024,5,May,2,Thursday,0
152,2024-05-31,2024,5,May,2,Friday,0
153,2024-06-01,2024,6,June,2,Saturday,1
154,2024-06-02,2024,6,June,2,Sunday,1
155,2024-06-03,2024,6,June,2,Monday,0
156,2024-06-04,2024,6,June,2,Tuesday,0
157,2024-06-05,2024,6,June,2,Wednesday,0
158,2024-06-06,2024,6,June,2,Thursday,0
159,2024-06-07,2024,6,June,2,Friday,0
160,2024-06-08,2024,6,June,2,Saturday,1
161,2024-06-09,2024,6,June,2,Sunday,1
162,2024-06-10,2024,6,June,2,Monday,0
163,2024-06-11,2024,6,June,2,Tuesday,0
164,2024-06-12,2024,6,June,2,Wednesday,0
165,2024-06-13,2024,6,June,2,Thursday,0
166,2024-06-14,2024,6,June,2,Friday,0
167,2024-06-15,2024,6,June,2,Saturday,1
168,2024-06-16,2024,6,June,2,Sunday,1
169,2024-06-17,2024,6,June,2,Monday,0
170,2024-06-18,2024,6,June,2,Tuesday,0
171,2024-06-19,2024,6,June,2,Wednesday,0
172,2024-06-20,2024,6,June,2,Thursday,0
173,2024-06-21,2024,6,June,2,Friday,0
174,2024-06-22,2024,6,June,2,Saturday,1
175,2024-06-23,2024,6,June,2,Sunday,1
176,2024-06-24,2024,6,June,2,Monday,0
177,2024-06-25,2024,6,June,2,Tuesday,0
178,2024-06-26,2024,6,June,2,Wednesday,0
179,2024-06-27,2024,6,June,2,Thursday,0
180,2024-06-28,2024,6,June,2,Friday,0
181,2024-06-29,2024,6,June,2,Saturday,1
182,2024-06-30,2024,6,June,2,Sunday,1
183,2024-07-01,2024,7,July,3,Monday,0
184,2024-07-02,2024,7,July,3,Tuesday,0
185,2024-07-03,2024,7,July,3,Wednesday,0
186,2024-07-04,2024,7,July,3,Thursday,0
187,2024-07-05,2024,7,July,3,Friday,0
188,2024-07-06,2024,7,July,3,Saturday,1
189,2024-07-07,2024,7,July,3,Sunday,1
190,2024-07-08,2024,7,July,3,Monday,0
191,2024-07-09,2024,7,July,3,Tuesday,0
192,2024-07-10,2024,7,July,3,Wednesday,0
193,2024-07-11,2024,7,July,3,Thursday,0
194,2024-07-12,2024,7,July,3,Friday,0
195,2024-07-13,2024,7,July,3,Saturday,1
196,2024-07-14,2024,7,July,3,Sunday,1
197,2024-07-15,2024,7,July,3,Monday,0
198,2024-07-16,2024,7,July,3,Tuesday,0
199,2024-07-17,2024,7,July,3,Wednesday,0
200,2024-07-18,2024,7,July,3,Thursday,0
201,2024-07-19,2024,7,July,3,Friday,0
202,2024-07-20,2024,7,July,3,Saturday,1
203,2024-07-21,2024,7,July,3,Sunday,1
204,2024-07-22,2024,7,July,3,Monday,0
205,2024-07-23,2024,7,July,3,Tuesday,0
206,2024-07-24,2024,7,July,3,Wednesday,0
207,2024-07-25,2024,7,July,3,Thursday,0
208,2024-07-26,2024,7,July,3,Friday,0
209,2024-07-27,2024,7,July,3,Saturday,1
210,2024-07-28,2024,7,July,3,Sunday,1
211,2024-07-29,2024,7,July,3,Monday,0
212,2024-07-30,2024,7,July,3,Tuesday,0
213,2024-07-31,2024,7,July,3,Wednesday,0
214,2024-08-01,2024,8,August,3,Thursday,0
215,2024-08-02,2024,8,August,3,Friday,0
216,2024-08-03,2024,8,August,3,Saturday,1
217,2024-08-04,2024,8,August,3,Sunday,1
218,2024-08-05,2024,8,August,3,Monday,0
219,2024-08-06,2024,8,August,3,Tuesday,0
220,2024-08-07,2024,8,August,3,Wednesday,0
221,2024-08-08,2024,8,August,3,Thursday,0
222,2024-08-09,2024,8,August,3,Friday,0
223,2024-08-10,2024,8,August,3,Saturday,1
224,2024-08-11,2024,8,August,3,Sunday,1
225,2024-08-12,2024,8,August,3,Monday,0
226,2024-08-13,2024,8,August,3,Tuesday,0
227,2024-08-14,2024,8,August,3,Wednesday,0
228,2024-08-15,2024,8,August,3,Thursday,0
229,2024-08-16,2024,8,August,3,Friday,0
230,2024-08-17,2024,8,August,3,Saturday,1
231,2024-08-18,2024,8,August,3,Sunday,1
232,2024-08-19,2024,8,August,3,Monday,0
233,2024-08-20,2024,8,August,3,Tuesday,0
234,2024-08-21,2024,8,August,3,Wednesday,0
235,2024-08-22,2024,8,August,3,Thursday,0
236,2024-08-23,2024,8,August,3,Friday,0
237,2024-08-24,2024,8,August,3,Saturday,1
238,2024-08-25,2024,8,August,3,Sunday,1
239,2024-08-26,2024,8,August,3,Monday,0
240,2024-08-27,2024,8,August,3,Tuesday,0
241,2024-08-28,2024,8,August,3,Wednesday,0
242,2024-08-29,2024,8,August,3,Thursday,0
243,2024-08-30,2024,8,August,3,Friday,0
244,2024-08-31,2024,8,August,3,Saturday,1
245,2024-09-01,2024,9,September,3,Sunday,1
246,2024-09-02,2024,9,September,3,Monday,0
247,2024-09-03,2024,9,September,3,Tuesday,0
248,2024-09-04,2024,9,September,3,Wednesday,0
249,2024-09-05,2024,9,September,3,Thursday,0
250,2024-09-06,2024,9,September,3,Friday,0
251,2024-09-07,2024,9,September,3,Saturday,1
252,2024-09-08,2024,9,September,3,Sunday,1
253,2024-09-09,2024,9,September,3,Monday,0
254,2024-09-10,2024,9,September,3,Tuesday,0
255,2024-09-11,2024,9,September,3,Wednesday,0
256,2024-09-12,2024,9,September,3,Thursday,0
257,2024-09-13,2024,9,September,3,Friday,0
258,2024-09-14,2024,9,September,3,Saturday,1
259,2024-09-15,2024,9,September,3,Sunday,1
260,2024-09-16,2024,9,September,3,Monday,0
261,2024-09-17,2024,9,September,3,Tuesday,0
262,2024-09-18,2024,9,September,3,Wednesday,0
263,2024-09-19,2024,9,September,3,Thursday,0
264,2024-09-20,2024,9,September,3,Friday,0
265,2024-09-21,2024,9,September,3,Saturday,1
266,2024-09-22,2024,9,September,3,Sunday,1
267,2024-09-23,2024,9,September,3,Monday,0
268,2024-09-24,2024,9,September,3,Tuesday,0
269,2024-09-25,2024,9,September,3,Wednesday,0
270,2024-09-26,2024,9,September,3,Thursday,0
271,2024-09-27,2024,9,September,3,Friday,0
272,2024-09-28,2024,9,September,3,Saturday,1
273,2024-09-29,2024,9,September,3,Sunday,1
274,2024-09-30,2024,9,September,3,Monday,0
275,2024-10-01,2024,10,October,4,Tuesday,0
276,2024-10-02,2024,10,October,4,Wednesday,0
277,2024-10-03,2024,10,October,4,Thursday,0
278,2024-10-04,2024,10,October,4,Friday,0
279,2024-10-05,2024,10,October,4,Saturday,1
280,2024-10-06,2024,10,October,4,Sunday,1
281,2024-10-07,2024,10,October,4,Monday,0
282,2024-10-08,2024,10,October,4,Tuesday,0
283,2024-10-09,2024,10,October,4,Wednesday,0
284,2024-10-10,2024,10,October,4,Thursday,0
285,2024-10-11,2024,10,October,4,Friday,0
286,2024-10-12,2024,10,October,4,Saturday,1
287,2024-10-13,2024,10,October,4,Sunday,1
288,2024-10-14,2024,10,October,4,Monday,0
289,2024-10-15,2024,10,October,4,Tuesday,0
290,2024-10-16,2024,10,October,4,Wednesday,0
291,2024-10-17,2024,10,October,4,Thursday,0
292,2024-10-18,2024,10,October,4,Friday,0
293,2024-10-19,2024,10,October,4,Saturday,1
294,2024-10-20,2024,10,October,4,Sunday,1
295,2024-10-21,2024,10,October,4,Monday,0
296,2024-10-22,2024,10,October,4,Tuesday,0
297,2024-10-23,2024,10,October,4,Wednesday,0
298,2024-10-24,2024,10,October,4,Thursday,0
299,2024-10-25,2024,10,October,4,Friday,0
300,2024-10-26,2024,10,October,4,Saturday,1
301,2024-10-27,2024,10,October,4,Sunday,1
302,2024-10-28,2024,10,October,4,Monday,0
303,2024-10-29,2024,10,October,4,Tuesday,0
304,2024-10-30,2024,10,October,4,Wednesday,0
305,2024-10-31,2024,10,October,4,Thursday,0
306,2024-11-01,2024,11,November,4,Friday,0
307,2024-11-02,2024,11,November,4,Saturday,1
308,2024-11-03,2024,11,November,4,Sunday,1
309,2024-11-04,2024,11,November,4,Monday,0
310,2024-11-05,2024,11,November,4,Tuesday,0
311,2024-11-06,2024,11,November,4,Wednesday,0
312,2024-11-07,2024,11,November,4,Thursday,0
313,2024-11-08,2024,11,November,4,Friday,0
314,2024-11-09,2024,11,November,4,Saturday,1
315,2024-11-10,2024,11,November,4,Sunday,1
316,2024-11-11,2024,11,November,4,Monday,0
317,2024-11-12,2024,11,November,4,Tuesday,0
318,2024-11-13,2024,11,November,4,Wednesday,0
319,2024-11-14,2024,11,November,4,Thursday,0
320,2024-11-15,2024,11,November,4,Friday,0
321,2024-11-16,2024,11,November,4,Saturday,1
322,2024-11-17,2024,11,November,4,Sunday,1
323,2024-11-18,2024,11,November,4,Monday,0
324,2024-11-19,2024,11,November,4,Tuesday,0
325,2024-11-20,2024,11,November,4,Wednesday,0
326,2024-11-21,2024,11,November,4,Thursday,0
327,2024-11-22,2024,11,November,4,Friday,0
328,2024-11-23,2024,11,November,4,Saturday,1
329,2024-11-24,2024,11,November,4,Sunday,1
330,2024-11-25,2024,11,November,4,Monday,0
331,2024-11-26,2024,11,November,4,Tuesday,0
332,2024-11-27,2024,11,November,4,Wednesday,0
333,2024-11-28,2024,11,November,4,Thursday,0
334,2024-11-29,2024,11,November,4,Friday,0
335,2024-11-30,2024,11,November,4,Saturday,1
336,2024-12-01,2024,12,December,4,Sunday,1
337,2024-12-02,2024,12,December,4,Monday,0
338,2024-12-03,2024,12,December,4,Tuesday,0
339,2024-12-04,2024,12,December,4,Wednesday,0
340,2024-12-05,2024,12,December,4,Thursday,0
341,2024-12-06,2024,12,December,4,Friday,0
342,2024-12-07,2024,12,December,4,Saturday,1
343,2024-12-08,2024,12,December,4,Sunday,1
344,2024-12-09,2024,12,December,4,Monday,0
345,2024-12-10,2024,12,December,4,Tuesday,0
346,2024-12-11,2024,12,December,4,Wednesday,0
347,2024-12-12,2024,12,December,4,Thursday,0
348,2024-12-13,2024,12,December,4,Friday,0
349,2024-12-14,2024,12,December,4,Saturday,1
350,2024-12-15,2024,12,December,4,Sunday,1
351,2024-12-16,2024,12,December,4,Monday,0
352,2024-12-17,2024,12,December,4,Tuesday,0
353,2024-12-18,2024,12,December,4,Wednesday,0
354,2024-12-19,2024,12,December,4,Thursday,0
355,2024-12-20,2024,12,December,4,Friday,0
356,2024-12-21,2024,12,December,4,Saturday,1
357,2024-12-22,2024,12,December,4,Sunday,1
358,2024-12-23,2024,12,December,4,Monday,0
359,2024-12-24,2024,12,December,4,Tuesday,0
360,2024-12-25,2024,12,December,4,Wednesday,0
361,2024-12-26,2024,12,December,4,Thursday,0
362,2024-12-27,2024,12,December,4,Friday,0
363,2024-12-28,2024,12,December,4,Saturday,1
364,2024-12-29,2024,12,December,4,Sunday,1
365,2024-12-30,2024,12,December,4,Monday,0
